Technically possible output frequencies (fcw) of integrated cosine waveform (CW) Generator:
(with definition SW_FSTEP_MAX=256, default value 0 for RTC_CNTL_CK8M_DIV_SEL stays untouched)

setCwFrequency(): ftarget=141, fcw=122, abs(delta)=19, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=142, fcw=122, abs(delta)=20, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=143, fcw=122, abs(delta)=21, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=144, fcw=122, abs(delta)=22, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=145, fcw=122, abs(delta)=23, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=146, fcw=122, abs(delta)=24, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=147, fcw=122, abs(delta)=25, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=148, fcw=122, abs(delta)=26, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=149, fcw=122, abs(delta)=27, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=150, fcw=122, abs(delta)=28, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=151, fcw=122, abs(delta)=29, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=152, fcw=122, abs(delta)=30, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=153, fcw=122, abs(delta)=31, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=154, fcw=122, abs(delta)=32, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=155, fcw=122, abs(delta)=33, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=156, fcw=122, abs(delta)=34, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=157, fcw=122, abs(delta)=35, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=158, fcw=122, abs(delta)=36, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=159, fcw=122, abs(delta)=37, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=160, fcw=122, abs(delta)=38, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=161, fcw=122, abs(delta)=39, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=162, fcw=122, abs(delta)=40, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=163, fcw=122, abs(delta)=41, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=164, fcw=122, abs(delta)=42, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=165, fcw=122, abs(delta)=43, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=166, fcw=122, abs(delta)=44, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=167, fcw=122, abs(delta)=45, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=168, fcw=122, abs(delta)=46, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=169, fcw=122, abs(delta)=47, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=170, fcw=122, abs(delta)=48, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=171, fcw=122, abs(delta)=49, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=172, fcw=122, abs(delta)=50, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=173, fcw=122, abs(delta)=51, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=174, fcw=122, abs(delta)=52, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=175, fcw=122, abs(delta)=53, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=176, fcw=122, abs(delta)=54, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=177, fcw=122, abs(delta)=55, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=178, fcw=122, abs(delta)=56, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=179, fcw=122, abs(delta)=57, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=180, fcw=122, abs(delta)=58, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=181, fcw=122, abs(delta)=59, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=182, fcw=122, abs(delta)=60, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=183, fcw=122, abs(delta)=61, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=184, fcw=244, abs(delta)=60, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
setCwFrequency(): ftarget=185, fcw=244, abs(delta)=59, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
setCwFrequency(): ftarget=186, fcw=244, abs(delta)=58, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
setCwFrequency(): ftarget=187, fcw=244, abs(delta)=57, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
setCwFrequency(): ftarget=188, fcw=244, abs(delta)=56, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
setCwFrequency(): ftarget=189, fcw=244, abs(delta)=55, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
setCwFrequency(): ftarget=190, fcw=244, abs(delta)=54, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
setCwFrequency(): ftarget=191, fcw=244, abs(delta)=53, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
setCwFrequency(): ftarget=192, fcw=244, abs(delta)=52, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
setCwFrequency(): ftarget=193, fcw=244, abs(delta)=51, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
setCwFrequency(): ftarget=194, fcw=244, abs(delta)=50, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
setCwFrequency(): ftarget=195, fcw=244, abs(delta)=49, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
setCwFrequency(): ftarget=196, fcw=244, abs(delta)=48, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
